iter	Passed	Remaining
732	33508	12205
733	33554	12160
734	33601	12114
735	33647	12069
736	33694	12023
737	33742	11978
738	33789	11933
739	33835	11888
740	33883	11843
741	33930	11797
742	33978	11752
743	34024	11707
744	34071	11662
745	34118	11616
746	34164	11571
747	34209	11525
748	34255	11479
749	34300	11433
750	34346	11387
751	34392	11342
752	34437	11296
753	34483	11250
754	34529	11204
755	34574	11158
756	34620	11113
757	34666	11067
758	34712	11021
759	34757	10976
760	34802	10930
761	34849	10884
762	34896	10839
763	34941	10793
764	34988	10748
765	35033	10702
766	35079	10656
767	35125	10610
768	35169	10564
769	35216	10519
770	35262	10473
771	35309	10428
772	35355	10382
773	35400	10336
774	35446	10290
775	35492	10245
776	35539	10199
777	35564	10148
778	35611	10102
779	35659	10057
780	35706	10012
781	35753	9967
782	35800	9921
783	35847	9876
784	35895	9831
785	35942	9785
786	35989	9740
787	36037	9695
788	36084	9650
789	36132	9604
790	36178	9559
791	36226	9513
792	36250	9462
793	36297	9417
794	36344	9371
795	36391	9326
796	36438	9280
797	36485	9235
798	36532	9190
799	36581	9145
800	36631	9100
801	36680	9055
802	36728	9010
803	36777	8965
804	36825	8920
805	36872	8874
806	36919	8829
807	36966	8784
808	37013	8738
809	37061	8693
810	37108	8647
811	37155	8602
812	37202	8556
813	37249	8511
814	37296	8466
815	37344	8420
816	37392	8375
817	37440	8330
818	37488	8284
819	37535	8239
820	37582	8193
821	37614	8145
822	37662	8099
823	37710	8054
824	37757	8009
825	37804	7963
826	37852	7918
827	37899	7872
828	37946	7827
829	37993	7781
830	38040	7736
831	38088	7690
832	38135	7645
833	38183	7600
834	38230	7554
835	38278	7509
836	38324	7463
837	38371	7417
838	38418	7372
839	38465	7326
840	38512	7281
841	38559	7235
842	38606	7189
843	38652	7144
844	38701	7099
845	38753	7054
846	38804	7009
847	38854	6964
848	38890	6916
849	38938	6871
850	38986	6826
851	39034	6780
852	39082	6735
853	39130	6689
854	39178	6644
855	39226	6598
856	39273	6553
857	39321	6507
858	39369	6462
859	39417	6416
860	39464	6371
861	39512	6325
862	39561	6280
863	39608	6234
864	39654	6188
865	39699	6142
866	39745	6097
867	39791	6051
868	39838	6005
869	39887	5960
870	39934	5914
871	39981	5868
872	40027	5822
873	40057	5774
874	40103	5729
875	40150	5683
876	40197	5637
877	40243	5591
878	40290	5546
879	40337	5500
880	40384	5454
881	40432	5409
882	40477	5363
883	40537	5319
884	40583	5273
885	40631	5227
886	40679	5182
887	40707	5134
888	40755	5088
889	40804	5043
890	40854	4997
891	40903	4952
892	40951	4906
893	41000	4861
894	41049	4815
895	41097	4770
896	41146	4724
897	41194	4679
898	41243	4633
899	41291	4587
900	41340	4542
901	41389	4496
902	41437	4451
903	41486	4405
904	41534	4360
905	41583	4314
906	41632	4268
907	41680	4223
908	41727	4177
909	41777	4131
910	41835	4087
911	41892	4042
912	41940	3996
913	41987	3950
914	42034	3904
915	42082	3859
916	42130	3813
917	42178	3767
918	42225	3721
919	42273	3675
920	42319	3630
921	42366	3584
922	42412	3538
923	42460	3492
924	42506	3446
925	42553	3400
926	42600	3354
927	42647	3308
928	42694	3262
929	42741	3217
930	42787	3171
931	42834	3125
932	42881	3079
933	42929	3033
934	42976	2987
935	43022	2941
936	43069	2895
937	43115	2849
938	43161	2803
939	43209	2758
940	43255	2712
941	43301	2666
942	43348	2620
943	43395	2574
944	43442	2528
945	43489	2482
946	43536	2436
947	43582	2390
948	43628	2344
949	43675	2298
950	43722	2252
951	43769	2206
952	43815	2160
953	43862	2114
954	43908	2069
955	43955	2023
956	44003	1977
957	44050	1931
958	44099	1885
959	44146	1839
960	44193	1793
961	44240	1747
962	44287	1701
963	44334	1655
964	44381	1609
965	44428	1563
966	44475	1517
967	44522	1471
968	44569	1425
969	44615	1379
970	44646	1333
971	44693	1287
972	44739	1241
973	44785	1195
974	44832	1149
975	44878	1103
976	44925	1057
977	44973	1011
978	45019	965
979	45067	919
980	45114	873
981	45160	827
982	45207	781
983	45254	735
984	45302	689
985	45349	643
986	45396	597
987	45442	551
988	45489	505
989	45536	459
990	45583	413
991	45630	367
992	45677	321
993	45724	276
994	45770	230
995	45817	184
996	45864	138
997	45911	92
998	45958	46
999	46004	0
